name,price,quantity
John Ritzerthaler Company EA,57.96,2
CTN,23.45,6
Shortening Clear Fry Liguid Keith's Homestyle,28.44,6
CT,31.71,2
CT,35.67,1
CT,17.91,1
Dressing Dijon Honey Mustard Golden Harvest,40.72,1
LBCTN,27.71,1
Gt Markon Essentials,48.93,3
Egg Hard Cooked Peeled Papetts,46.73,1
Cheese Havart Plain Loaf Ostentiory,55.29,1
Cheese Cheddar Jack Shred Reg Golden Harvest,31.78,6
Horseradish Era Hot Tulkoft,16.0,1
AV,54.61,2
Chicken Breast Boz Butterfly Koch Foods,69.13,3
Pork Loin Center Gut Bane In Clemens Food Group,56.05,5
G,59.77,1
In Cavendish Farms,35.02,16
a Coke Classic Cube Pack Cota Cola,17.91,1
Soda Spite Cube Pack sprite,17.91,1
Signature Signature WHISKEY'S TX Whiskey,35.19,0
Gentleman Jack,24.09,1
Jack Daniels,26.38,3
Jack Daniels Honey,26.38,0
Jack Daniels Apple,18.39,0
Jack Daniels Fire,26.38,0
Fireball,15.19,0
Pendleton x,29.59,0
,14.99,1
Screwball x,26.36,0
Southern Comfort,11.99,0
Kentucky Dale x,6.39,0
BOURBON'S Eagle Rare x,28.39,0
Basil Hayden,41.28,1
Woodford Reserve,35.09,0
Jim Bean,16.68,4
RYE x,24.74,0
CANADIAN WHISKEY Crown,29.99,4
Crown Apple,29.99,0
Crown Peach,23.99,0
Crown Vanilla,29.99,0
YR x,75.99,0
YR x,58.79,0
JW Black x,41.99,0
Belvedere x,29.77,0
Finlandia x,12.79,0
Ketel One x,25.49,0
Stolichnaya x,19.99,0
Stolichnaya Vanilla x,21.25,0
Absolute Vodka x,19.22,0
Deep Eddy's Lemon,19.99,0
Deep Eddy's Ruby Red,19.99,0
Deep Eddy's Peach,19.99,0
Taaka,5.55,2
Clasa Azul Plata x,92.11,0
Patron Silver,39.99,2
Corralejo Reposado,28.26,0
Corralejo Blanco,24.79,0
Herradura Silver x,39.19,0
Reposado,31.79,2
Silver,28.79,7
Jose Cuervo (blue agave) x,21.59,0
El Toro,8.76,1
Tanqueray,23.99,0
Bombay Sapphire x,22.39,0
Taaka,5.89,0
RUM Myer's Mark x,22.39,0
Captian Morgan,17.99,1
COGNAC Hennessey VS,44.49,0
Tuaca Itailian Brandy x,22.13,0
J x,11.99,0
Pual Mason x,10.39,0
LIQUEUR'S Disaronno,38.39,0
Grand Marnier,34.42,0
Cointreau,31.39,0
Chambord x,27.99,0
Frangelico x,24.79,0
Campari x,34.06,0
Kahlua x,26.98,0
Jagermeister x,26.22,0
Rum Chata x,21.66,0
Boston Ameretto x,5.05,0
Boston Blue Curacao,5.05,0
Buttershots x,10.73,0
Boston Melon,5.92,0
Boston Peach Schapps,5.42,2
Boston Sour Apple,5.42,0
Dessert LIT,7.19,0
